,0
562,native _NEG_accept kind idea die world world lie indoctrinate year guess western audience _NEG_know qin shihuang mean emperor king notorious tyrant ancient tianxia word speak king mean land speak mouth totally lie king ancient speak thing qin shihuang empire year destroy beautiful _NEG_accept idea die tyrant
563,great big star tyrone power henry fonda randolph scott nancy kelly henry hull brian donlevey bunch know short technicolor bad news regrettably _NEG_poive portray james boy totally poive light criminal good glamorize enemy railroad vicious exaggerate preposterous world evil good good bad hey news flash james boy criminal look
564,remember series avidly saturday highlight week love location costume wonderful music clannad legend album love way solve problem prae leave create time earl huntingdon believe legend medieval time thing love fill young sure young _NEG_live long day look old ridiculous accent look sad thing shame _NEG_special tie loose end happy
565,_NEG_normally write review special _NEG_turn _NEG_believe _NEG_bad horrible car wreck blood flow highway disgusting _NEG_turn away start sport thriller utterly ridiculous comedy _NEG_funny _NEG_dumb silly way cousin try skit family painful string involve _NEG_work writing direct terrible problem _NEG_describe bad sure _NEG_luck mean worth appreciation bad lifetime future _NEG_stand _NEG_bad string
566,argue master animation hayao miyazaki hold ability focus john laser amazing ability steal turn pretty puppet laud genius digres miyazaki deal important mature issue usually ecologically theme intelligent jaded viewer normally despise animate thoroughly enjoy chance miyazaki _NEG_forget undoubtedly audience child loss maker ability nephew link enthral niece amber love able appreciate star power frankie jonas noah cyrus nephew aaron review course good miyazaki san good animation fan bring tear powerful directing gorgeous animation mother able connect mother bet chara love cuteness child respect miyazaki san speak audience completely different way average maker surface ponyo simple little fish taste world want join friend little boy soske somewhat little mermaid entire different level play true form miyazaki populate intensely strong ponyo mother soske mother lady nursing home genuine mind extremely strong willed cake ponyo decide like world simply use achieve dream father try innocent magical fish young ponyo know want simply determination team friend soske love maybe _NEG_ham soske ask house mother lisa decide help rest home work typhoon inadvertently cause ponyo quest frankie jonas yes relate jonas brother past good perforce young soske good line strong willed respectful friendly istic _NEG_likely find child pacific end ponyo father fujimoto cope daughter decision estrange wife wish allow hope ponyo soske remember fondly miyazaki refuse allow stereotypical bad miyazaki reason receive criticism honestly magical relatable real life completely bad shade gray exly miyazaki animation time cgi certainly help copious effect shot especially water miyazaki choose incorporate cgi whatsoever certainly hand draw animation color digital mean hand draw extremely grateful animation extremely fluid appear lip sync unusual anime background render color pencil effect audience animation use end find ponyo thoroughly enjoyable certainly _NEG_miyazaki good opinion honor hold kiki delivery service star fun entire family
567,attrive marjorie life fear accost lone biker mortally shake attacker know address expect joe james russo attacker force way marjorie home subject humiliating terror bruise bloody marjorie age upper hand attacker knock live daylight jerk render helpless thank wasp spray eye throat hog tie batter joe try explain marjorie roommate alfrie woodard home hint mercy _NEG_come marjorie continue render punishment violence sexual abuse rough language rating away ditsy forever stain career kudo young
568,find sad _NEG_want automatically suck chance hope _NEG_fine scare away decent find entertain _NEG_mind blow crazy special effect _NEG_bad fun yea definitely _NEG_bad horrible
569,hope realistic account happen outbreak highly transmittable disease disappoint garbage _NEG_real ing awful particular doctor bad thing play cnn bad case scenario obligatory disaster relation bit _NEG_sincere disaster particular weather ually bad amusing bad _NEG_amusing tedious boring _NEG_bother
570,like reasonably intelligent love good attention detail enjoy indie funny smartly write dialogue poor attention span high expectation brain bored find thing drag time charming modest pace bestow real sense depth warmth chuckle pretty way little gem
571,great big hit world break box office record movergoer stay home new motorola television recent box office figure false fail adjust inflation obviously dominate cost run neighborhood run count number respond picture _NEG_unadjuste box office medium spin genius great maker life _NEG_great throw trash _NEG_focus good living opera singer good historic opera singer result wonderful bad throw life career away overeat fat play student prince edmund purdom place voice dub handsome _NEG_fat picture advertising want great _NEG_low price reflect easy availability copy _NEG_quality
572,attend advance screening _NEG_sure expect deliver memorable perforce underlying general line somewhat familiar excellent deliver powerful perforce play extremely frailty strength respective incredibly play confront reason join coast guard rescue elite unforgettable emotional moment specific line education depict sacrifice dede physical training elite coast guard rescuer preparation job responsibility save life sea special effect rescue extremely realistic wowing _NEG_angry sea perfect storm star clancy brown hbo carnivale great play captain coast guard kodiak base strong convince leader prerequie necessary ice water vein wonderfully finally long overdue exposure respect coast guard audience applauding end
573,_NEG_weapon expert difference army riffle wwi wwii private armed garand invent _NEG_authentic springfield aka silent death private use wwii difference load time ammunition time fire rate semi automatic springfield require reload shoot little difference ger army uniform borrow especially helmets ger helmet end wwi significant pike _NEG_little additional search archive truthful true surprised truthful pursuit cheap propagation
574,wonder bad stop wonder tell _NEG_heartwarme entertain good suck kid let deep throat sell wash bald hurt die time highlight turd wait hear sing yeah hollywood
575,begin wheeler sneak apartment friend aunt edna oliver talented _NEG_like wheeler sentiment easily relate aunt decide bland young lady abroad away wheeler leave wheeler invest revolution small mythical kingdom promise king time small mythical kingdom king wheeler arrive boy fight refuse friend greatly disappoint kill replace king national pastime huge fan comedy golden age silent era review _NEG_thousand despite love appreciation _NEG_able understand appeal wheeler comedy team bad brother despite successful short career cut short early death _NEG_help notice prically successful team basic idea example element reminiscent marx brother duck soup crack nut _NEG_laugh duck soup silly highly enjoyable romp times talk bit groucho joke _NEG_punchline remotely funny prattle pointlessly funny quality look goofy surely _NEG_reason additionally wheeler comedic appeal piece cheese piece cheese sing poorly miss opportunity old vaudeville routine later popularize abbott costello lack spark wit time soon start spiel end routine prematurely leave frustrated know year use team want wheeler fair shot twist find sub par duo admit like mildly silly billy rainmaker ually imdb major endurance test complete find happen view wheeler humor
576,hope funny hype clever preview clip talk hype hear interview creator broad unfortunately _NEG_come close deliver joke obvious kind sound kind funny time hear lame _NEG_new treatment twist dimensional ing mediocre nice classic cbc recipe fail muslim stupid believe white white probably offend little white portray bigote ignorant _NEG_fun white problem comedy root problem _NEG_funny burst funny export regular basis come _NEG_find
577,mexican werewolf _NEG_werewolf title bullcrap ually chupacabra kill local villager little town furlough suppose distributor rename original title extra buck guess ually work reason buy piece crap sound stupid _NEG_good ually bloody awful _NEG_expect buy low budget horror chupacabra monster enjoy low budget horror bad dialog check warn baad bad ing try hard completely ridiculous _NEG_line normal way completely wrong tone stupid freakin parody like shoot single time happy bad blond suppose play bimbo bad _NEG_bad pteradyl boyfriend die _NEG_stop bimbo hate shot ually good shoot daytime pretty decent low budget project shoot night chupacabra strike lighting way dark short grizzly violent effect pretty hilarious way like chupacabra look pretty messed easy suit overall extreme fan low budget flick important _NEG_probably bored death recommend flick friend beer
578,god awful literally chore want eject vcr throw room foolishly eventually funny right lose win yay require view entertain thought funny beat ove head tape crack consider rent turd bad thing ask _NEG_look cover mean crap tell glance bad vey suck
579,symbolic use object form editing poion use joyous abandon hitchcock fertile genius way wife corner ring fight progress editing wedding ring place finger bit obvious today standard silent era speak volume word speak title meaning boxing ring wedding ring bracelet lover buy love triangle heart
580,find good area ing brilliant especially stone morissey tramell smart psychologically twist interesting mind play main catherine continue writing new way twist novel setting fabulous atmosphere mysterious thriller masterpiece deserve audience mislead faulty terrible review start _NEG_regret
581,_NEG_paul new racing car appearance jolly project ski hill dale alpine sunshine light powdered snow small town boy david chappellet kind lead eye prize olympic glory nose particular order coach father team mate mere insular world evidence fairly distasteful pick old friend hometown selfishly petulant pursuit heaven free ing independent play camilla sparv ski sequence fine good stunt work involve numerous bump scrape piste effectiveness dim subsequent familiarity coverage ski event present day plus _NEG_convince olympics mass identification general public summer game eventually win gold medal final reel _NEG_excited way good profile forward _NEG_need _NEG_gene hack equally meagre sparv chief interest treat way doubtless treat chauvinistic way truth lack dramatic tension ion sequence _NEG_fully compensate _NEG_care fig lead probably enjoy viewer
582,recommend search relaxing fun fill thought provoke absence sex vulgarity violence pleasant evening especially enjoy buffalo probably live short distance produce city theme important grateful heaven drop try like
583,art national preservation foundation imdb regardless date definitely appear indicative general time period camera work pop art styling pure late early consist simple image distort use different weird camera trick distorted image accompany music absolutely dialog sort obviously intend form perforce art perforce art interesting quickly tiresome bluntly total bore appeal family friend hip understand mortal
584,read book excellent diamond coal era lieb selby dominate screen communicate inteny flaw star shame studio _NEG_easily franchise release worthy remake revive look guide list _NEG_matter late _NEG_disappoint favor read book title blow away time change dramatically day like
585,drifter look job mistake hit small wyoming town lead kind complication cage perfectly unlucky schmuck hope quick buck town find _NEG_escape title town hopper play psycho know lyle real hit walsh crooked sheriff boyle femme fatale round fine brother dahl contain delicious twist turn create terrific neo noir atmosphere witty entertaining suck viewer start _NEG_let
586,like gene kelly flick good ually famous gets lose gene kelly wonderful dance song number _NEG_definitely worth rent
587,promote sincere amateur ice cream scream caricature sincerity open dream travel ice cream sale western anatolia town successful use marketing method big ice cream company dream play product commercial beautiful model bikinis dance dream turn nightmare wake big erection gargantuan wife reject sex year apparent reason _NEG_successful job apparently sell day pressure global ice cream company ually _NEG_suffer sell good travel neighboring village apprentice stay shop sell ice cream town blame big company use sweetening color agent use real sahlep powder root mountain orchids buy motorbike bank loan travel vendor local channel prefer broad news bulletin local dialect wife _NEG_fond way business quarrel threaten bad thing moment frenzy successful day lousy bike steal misbehave little boy town search steal bike police blame big company theft course seriously annoy nagging wife tavern drunk friend table wannabe socialist town didic speech criticize globalism real connection jump subject global freezing return home decide kill poison wife wake prevent neighbor night walk advise life accord sell hot sahlep drink world face global freezing return home suddenly wife understand value treat hero praise hood thief boy sick eat ice cream confess doctor steal bike forgive come happy end look promise way telling insincere cheesy _NEG_effort tell visually base dialog dialog _NEG_stop ually visual art trouble _NEG_convincing _NEG_understand word market righteous fight big ice cream company big company _NEG_pressure ually ridicule believe big company theft motorbike find solve problem happy powerful husband _NEG_real criticism globalism cheesy crude humor maybe curse vulgar joke life vulgar language crude humor _NEG_funny accept vulgar clever _NEG_clever joke cheesy maybe wrong maybe oriental version pie style humor pie _NEG_claim nominee oscar political message laugh big erection short endure joke twice villager find funny
588,oliver hardy famous comedy duo deservedly happy recover broken leg hospital decide boil egg nuts _NEG_candy chaos begin curiously pull leg string age push doctor billy gilbert window cling string ceiling uation calm clothe doctor want leave age syringe accidentally leave nurse fill sleep drug come effect drive tell car large screen fill likable slapstick _NEG_bad repetitive little predictable classic comedy _NEG_great black white worth look oliver hardy number comedian comedian okay
589,admit enjoy house dead despite document failing bad demon door compare effect vastly superior weak ing reminiscent favourite porn decision ion consistently verge moronic feel try uwe boll late tic outing sense perspective hotd _NEG_suggest cure case different disease sense insult abhorrent ner way age line minimum shall waste time waste celluloid house dead
590,unlike reviewer _NEG_bear bear despite life style kid playstation play zelda etc hold special place heart despite year time write review style early childhood kid _NEG_great start home theodore chipmunk adoptive father rush airport business trip taxi chipmunk help pack talk express come world technically apparently qualify world leave chipmunk care miss miller displeasure boy soon airport chipmunk leave home miss miller later local cafe chipmunk play game world day chipette brittany jeanette eleanore lose game brittany hot air balloon eat sky crocodile argument brittany win race world diamond smuggler nearby table klaus claudia furschtien overhear argument need safe way transport diamond world decide fool child deliver set race world team depo doll likeness secretely fill diamond drop world receive doll oppose team likeness secretely fill payment diamond varify win team receive dollar reward believe jamal agent hot heel time _NEG_suspect kid redundant travel kid _NEG_security check _NEG_question doll suspect klaus claudia diamond ally begin great adventure classic reason _NEG_like feature great animation notch voice _NEG_mention kick ass music pardon favorite song shred doubt boy rock roll amazing rock song _NEG_favorite moment notable song include lucky kind suggestive kid mother wooly bully world _NEG_mention main theme hear opening credit perform royal philharmonic orchestra mother bring tear eye relation song lucky _NEG_grow learn life clear song little bit suggestive song animator insist audience know color chipette pantie especially apparent chipette chase arabian prince eleanor lean hot air balloon basket skirt defy gravity completely draw overall quality unexplained thing world mind foot tall chipmunk walk speak incredibly high pitch voice treat like child bit chipette discover diamond doll decide find chipmunk home direction janice kar perfect husband ross know voice chipmunk chipette ros voice janice voice chipette theodore speak voice voice resse nancy cartwright voice bart simpson appearance play arabian prince small important course happy crook catch loose end tie end child miss miller drive sunset complain _NEG_having dollar reward win race annoy finally yell screen fade blackclassic way hope find review useful _NEG_flick worth nostalgic classic solid headin _NEG_know _NEG_stop believe
591,finish year single bomb rating friend bring notorious turd house fear bad know reputation god awful anticipate mess dub produce gordon murray terrible set effect feature _NEG_frightening santa _NEG_operate north pole _NEG_cloud outer space _NEG_little elf help toy _NEG_different group child prically country opening sequence chuckle heartily observe monitor kiddy work hard singe terrible holiday song variety language forever obviously santa claus _NEG_observe child labor law eventually nasty slinky red suited apprentice devil travel hell earth little kid naughty turn santa round nightmare trippy twisted experience bind frighten little child turn santa claus holiday forever oddly jesus christ mention creepier context bizarre thing easily list bad sure unique
592,case attempt plus page book cram lot lose shakespeare love extremely ambitious project pull charming emotionally compelling incomplete wonderful fantastic tography toll tographer braveheart legend fall win oscar splendid work choice location greek island superb visual image come photograph majestic location vary light lush beautiful use numerous greek town town authentic feel soundtrack terrific dolin passage vocal soldier marvelous excellent job bring occupation roce great numerous sweet funny moment segment time battle drama ready unfold _NEG_leave reel component extremely rushed abbreviate battle subsequent battle obvious increasingly great compromise run long time reach post war treatment merely skeletal negative particularly sparse feature nicholas cage charming rotic lead sentimental captain join army sing _NEG_fight fight cage switch gear seamlessly fierce principle resolve remain believable penelope cruz camera love uninspired perforce cage dominate screen cruz placid emotionally torrential dynamic allow objectify corelli love interest _NEG_establish powerful right hurt fantastic perforce wise old doctor know nature medicine christian bale bit overwrought stiff rate despite drawback touching worth photography worth price admission
593,father grow grow george reeve super little kid vhs let view include pass family love clark kent send small town oil emerge mole radioive target town assume deadly super stop mayhem wonderful fun view old style special effect sound crew pull beauty little technology george reeve hero little kid timeless classic adventure
594,unpretentious horror probably destine cult classic scream rip hope come sequel
595,read book leave emotionally drain feel truly transport culture know little great hope _NEG_disappoint _NEG_read book enjoy shorten thing shot leave long feel plight highly recommend like emotionally drain drama want experience afghani culture disturbing _NEG_suitable child heavy drama depict horror life restrictive regime
596,year sara young witness parent murder adult suffer mental ailment mention imaginary friend lull viewer _NEG_sense tension mind _NEG_sense sleepiness deathly boring find hard feel eyelid grow heavy heavy endless minute mindless prattle suppose mystery sara crazy paranormal question care answer skip save time suit worthwhile task grade
597,short want burt reynold include _NEG_like burt like love burt favorite time hit home nice cop ion drama place city funny point good good perforce great support real bad _NEG_nice offbeat roce half good old fashion shootout fistfight cgi thank god real ion clint eastwood good impression burt reynold way loose way burt respond good clint type flick come great
598,love jones time rare depict love happen dialogue realistically write deliver honesty nice line center young professional virtually untapped market love jones visually captivate chemistry tate nia long bring memory past present love feeling jazz blue bring sensuality warm creamy hot chocolate splash kahlua butterscotch _NEG_guess love
599,basic genre thriller intercut uncomfortable menage trois fellowe try lot use lie title order bring ner small twist invariably design surprise audience _NEG_messy fellowe _NEG_interested present thriller element fashion seat edge _NEG_focus moral predicament dialogue inconsistent stagey vernacular constant surprise realism undo occasional cliche landmine fussing location exist space dreadful score _NEG_create dimension work emotional momentum set piece prosaic dare feel _NEG_want document successful middle class catch extraordinary uation want sort artful recounting finally let rest element suspense _NEG_flat asymmetric sum sub different shape size weave vehicle examination wilkinson watson support meta essay good perforce ebullient colleague simon wilkinson welcome foil brow furrowing disappoint _NEG_bad
600,absolutely good late run usa channel gilbert godfrey night _NEG_forget time friend struggle different issue sexual know rough weird stick little young lady help answer lot question daughter search year come buy recommend parent child reach rough difficult
601,hole awesome love lot favorite flick produce disney _NEG_cheesy hole generally cool motion picture wish disney picture hole rare breed disney flicker cool _NEG_wrong idea _NEG_mean bad mouth disney stuff aim kid okay child deserve entertainment disney guilty try appeal teen audience usually fail _NEG_hole type age enjoy _NEG_corny kind lot young hood enjoy relate hole good job mix good family entertainment _NEG_cheesy live little edge hope disney risk edgy flick
602,_NEG_hate old tech hit brick channel reformatte new step attack replacement screen saver host begin rise pereira come host prerecord piece rise decide leave eventually contest host _NEG_pan reason eventually learn imdb messageboard hey read got marry big secret new host _NEG_hot opinion olivia munn hide wear perfect body _NEG_afraid ahem sorry attack deal young want know music comic book internet television great _NEG_want bother scour net waste time want aot segment bit funny regular guest contributor industry guest range insignificant internet star ual big host _NEG_geek like find attack entertain late lineup
603,bad dcom maybe _NEG_bad smart house bad ing fine effect suck fake good fight brother shen probably excite overall find boring kind end suddenly funny ress fight
604,awful _NEG_believe great nonsense world blockbuster favorite million shahrukh khan appear screen new usual try cry start scramble head thousand time pretty zinta spouse _NEG_know facility plastic surgery face facility _NEG_know cross march country start dance singing soldier sleep
605,cooley high sort thing graffiti _NEG_starter white black motown soundtrack specifically focus work class student antic deal mainly home life relationship apartment _NEG_dad young know live life thing distinguish portrayal black teenager portray responsible worry miss school funny gorilla white overall main star soundtrack truly good soundtrack vinyl home classic real sense word
606,wonderful quirky rotic feather light float refre reality _NEG_want return humdrum kitchen sink world bakery hairdresser plumbing shimmer soft luminescence credit screenplay direction pick faultless let lie look glass
607,simply brilliant tography good superb absolutely breathtaking donald woods white liberal find reality apartheid kline completely convince donald wood appear year recognise kline portrayal denzel turn masterful perforce urge long worth patience tell incredible remember folk happen
608,recently _NEG_production time originally broad good remember worry old fashioned suppose little date wordy serial miss wonderful costume drama afternoon aside near perfect bit jane eyre purist favourite book _NEG_production faithful book recently read book dialogue spot read near end rochester question jane john like notice word exly reproduce screen clarke perfectly production lack way leave river family connection jane altogether production include gypsy correctly ing perfect zelah clarke like jane describe book small plain dark disagree look old timothy little handsome absolutely perfect rochester portray aspect right sock agree comment appear scary time like turn slowly church wedding interrupt expression fantastically frightening favourite joy wonderful jane run stair arm morning declare love love wonderfully portray totally believable love couple strangely miss like jane climb bed die helen rochester jane shopping wedding thing maybe memory play trick finally _NEG_production jane eyre simply simply perfection
609,time bad _NEG_plain awful comedy king queen breath fresh air complete oxygen tank opinion good comedy time good marry child comic genius believe lot label comic genius truly understand funny seinfeld _NEG_laugh koq funny carrie janet heffernan spence doug pruzan carrie boss happy aged season gem hilarious winner time comic loser check _NEG_
610,prey aspect ratio sound format monoa lesbian couple sally faulkner glory live remote country house drive apart arrival young stoke turn flesh eat alien vanguard massive invasion despite shoestring budget leaden pacing follow satan slave great deal sum meager thank surprisingly complex cuff apparently write credit faulkner indulge obsessive relationship whilst live isolated splendor countryside render alternately beautiful ominous derek browne eye catch tography discovery bloodstained clothing upstairs room mark doe eyed lovely psychologically disturb explain absence respective family appear live house time leave mysterious circumstance stoke unexpected arrival throw relationship disarray partly faulkner pathological hatred partly attre create tension result climic whirlwind violence extraordinary multi layered sequence faulkner attempt emasculate clueless vior dress clothing stoke alien mentality allow rise intend mockery early relationship faulkner depict uncommon grace dignity heartfelt sapphic liaison quickly devolve crowd sex pulchritude culminate explosion horror allow ravish stoke follow violent argument faulkner closing sequence literally gut wrench especially final appear clip censorship reason _NEG_fully restore remain pretty vivid brace excellent perforce lead bolster unobtrusive direction advantage stunning woodland location compensate budgetary shortcoming originally release alien prey
611,end remote island coast begin set inhabitant sheep alike settle quieter time ahead james warwick paratrooper british army local dentist _NEG_islander birth relationship local artist cartographer fiona patterson celia imrie view little suspicion _NEG_maliciously protective instinct tight knit community kin island serenity break solitary round golf find headless remain brutally slain immediately report gruesome find insp inskip maurice roeve island police station inskip arrange delivery remain local goudry close inspection quick search killer prove fruitless search miss local dinner night fiona realise dead sheila mainland live island month quick search home dove cottage reveal miss remain body home prove murder killer drag torso mile wood suspicion immediately fall stranger leave island colonel newth happen alive come ferry goudry ask dental expertise victim body reveal tear apart somebody great strength set tooth mark body point killer point unknown animal kind sheep find mutilated ornithologist find slain heavy fog roll island cut mainland possibility help radio _NEG_work mingly block phone line cut report ufo sighting camouflage soldier compound finding odd look craft hide rock beach inskip confused refuse listen laugh idea alien involve rise radioive level island doubt nightmare base novel child vodyanoi david wiltshire adapt blake writer direct direct experience classic benefit experienced genre expert board nightmare succinctly craft build alongside solid development minor time firm background island setting genre cliche use enjoy remoteness sense siege way add atmosphere extra oomph impenetrable fog close hamper effort genre effort kind easy proceeding silly resort melodrama credit hold emphasis believability time authenticity proceeding speak gaelic time far point negative killer pov killing acceptable cliche red filter fish eye lens scream overkill date little hard press guess outcome identity matter specie killer clue present fun local scottish exceptional local bobbie roeve cosmo particular spar delight behold imrie _NEG_work pretty good display hew woly physique hammer production outlandish maybe preposterous irk viewer disappoint way account understandable acceptable addendum terrifying
612,review contain spoiler _NEG_want _NEG_want spoiler _NEG_read review suppose meeting time poor copy cruel intention portray ryan phillippe poor substitute pull smarmy snooty rich kid attitude original absolutely appalling dialog verbatim _NEG_listen closely recognize inconsistency truly meeting fall love end supposedly suppose love time original reese tie photography model comment end totally lame _NEG_add overall waste time _NEG_believe cruel intention
613,ridiculous attempt comedy screenplay horrible low light _NEG_grasp comedy truly bad tography realize joke way inside joke wannabe drama flick bad pointless expression reveal dismay disaster turn way want bore ass suggest stay away gag
614,dramatise wilde novel john osborne condense event eliminate number generally imply _NEG_dorian essential wickedness want explicit render wilde live time frame certainly vastly different writer treat theme similar jekyll hyde note wilde choose treat fantasy rls scientific route protagonist good war evil evil win end different route john gielgud caustic cynical quip george sander project wilde subtle difference suspect sander believe gielgud expect _NEG_sincerely believe peter firth restrained fashion _NEG_escapade hurd hatfield chance display good production dramatisation reflect essential novel _NEG_ramification
615,start social commentary quickly clark kid bully etc quickly unravel direction mess main gregg araki esquire goofy skate documentary moment dialog insert clue find clock wonder turd end big shocker culmination _NEG_come cut good minute fast forwarding pointless skate yes illustrate change landscape _NEG_way begin kid bully way ually feel like observe reality group friend wassup feel stage poorly construct bad ing teenage cave _NEG_write direct terrible feel like suppose terrible _NEG_seriously wassup rocker plain bad
616,deepa mehta hindi version present nita note radha undergo allegorical trial fire _NEG_nita love screenplay mehta _NEG_direction big small developed med quixotic end somewhat end mazursky unmarried brave surround cardboard cardboard ashok come alive shot carry invalid mother biji finally future responsibility celibacy adherance religion mehta fumble compare mainstream brilliant _NEG_use microscopic joint family present present glimpse micro minority social milieu dedicate mother daughter _NEG_father radha reminesce halcyon day parent mustard field compare mrinal sen adoor gopalakrishnan muzaffar ali dwarf giant competent production team financial resource mehta bisexual lady middle class household sacrilege merely capture atrophy middle class home _NEG_aspire immediate survival limited social space kannada malayalam touch parallel theme _NEG_publicity surround _NEG_wide segment knowledgeable goer das azmi jafri credible _NEG_outstanding azmi talented ress superb perforce good mrinal sen khandar gautam ghose paar benegal ankur brilliance notably absent das sparkle screen presence _NEG_capability strength remain structure screenplay average term international sure mehta hone write talent future screenplay
617,way god beginning right average ing atrocious predictable bare large resemblance ring half decent good thing terrible bit audience wet geller fall building stitch friend tell quiet comment bind happen time right house come _NEG_sense poor excuse lot killing depth come leave feel point _NEG_come yawn surely _NEG_know carry knife round try fight _NEG_eat hair mildly scared mean mildly cry credit roll exhale short thank god _NEG_waste time pointless sorry excuse sequel
618,high school student commit suicide _NEG_life reason know time skip start day follow separate student marcus melody luke steven sarah sean student struggle moral dilemma reach boiling point hit end lose friend suicide survive suicide attempt writer create revet drama focus teen life horrible suicide suicide topic shadow attempt bring light touch suicide hard view heavy hard subject matter tackle everyday teenage life crisis sex pregnancy sexual identity bully friendship age extremely realistic ner talent subtlety respect subject problem suffer verge near documentary time painful realism interview splice heighten distinctive similarity gus van sants elephant core different tackle teen life sant utilize long tracking shot time skip forth interion different perspective defining point elephant ethereal ambiance spare conversation little development long tracking shot sant create haunting mesmerizing atmosphere come dread reside dread emotional connection reach high level sant _NEG_reach time fragility creep drag emotional roller coaster real hit come inevitable suicide foretold beginning hard complete intrusion discomfort audience life end gruesome fashion suicide gloss roticize pain agony involve _NEG_good solution unknown lead major teresa palmereach frank sweet joel mackenzie immense talent promise ing career compelling revet absolutely unmissable
619,quote slipstream bail decide ought fair chance _NEG_temerity number cliched line sure set record fine talente got mix clunker mark hamill portray futuristic bounty hunter quarry hijack hamill prisoner poet byron bob peck tasker hamill shoot owens dart contain tracking device companion belitski kitty aldridge tab pair real question _NEG_fire device byron cut middle enjoy disjoint tedious ization artsy fartsy pretense suppose find interest _NEG_convince sense level futuristic stone age way high society snobbery pinnacle poor taste reach display follow revelry torso hide meaning stretch patiently wait frame proclaim end come view alas deny beauty eye beholder understand single redeem feature closing credit begin run awesome view hot air balloon apparently afloat
620,old hand visual comedy successfully lead hal roach road tender fast moving adroit scenario excellent ing employ large number roach reliable performer originally vehicle sunny star young kansan sell auto repair business journey attempt wangle screen love star strike prefer use entire studio set ready audition treat paramour star rinaldo lopez mischa auer ion naturally musical comedy feature broadway headliner laurel hardy provide enjoyable interlude include know skit involve tiny harmonica fine turn hick balance hand bay mischa auer clearly steal picture emotional star largely create clever closing homage busby spectacle
621,joke obvious gag corny walk characature _NEG_stop laugh highly entertaining _NEG_matter time kick recommend highly lover mindless entertainment contain quotable moment good sight gag day need chuckle rent way home weekend good start
622,slasher pic past sell date good fun valentine card witty peach line angel angel buffy rerun _NEG_sizzle display young talent _NEG_real depth denise richard extra set bond feeling empathise sorry direction good age little ual rely imagination imply threat similar ner miss richard heigel _NEG_remove clothe essentially main ial plus lie borrow idea previous slasher flick psycho shower tributed halloween mask murder hide bodybag pretty original far know light view _NEG_scary good jump moment choice hole choose hole slasher day slasher good slasher groundbreake
623,reason master horror _NEG_lead good _NEG_shoot vhs dialog ridiculous talk drive zombie come vote sway political tide war break zombie come skydive maybe zombie come host qvc _NEG_support iraq war support courage sacrifice armed force homecoming disrespectful mock true horror war zombie mass produce market spam zombie related entertainment homecoming master horror
624,crocodile far primeval rogue month new ion violence fear tension perforce _NEG_oscar worthy time distress terror suffer torture hole maybe croc _NEG_behave point fear effective stretch enjoy leave feel uncomfortable passion christ
625,couple prior comment opine flick abundance cliche agree completely regard dialog read berkly awful perforce equally awful _NEG_perforce _NEG_awful barely standard lifetime bad fare _NEG_hint depth probably _NEG_place completely balance _NEG_hint depth charisma _NEG_trace performer portrayal principal handling liz initial complaint tutee kiss hall laughable husband initial reion advice likewise forr gump attack boyfriend car provide realistic intelligent ion hell mentally challenge smarmy unctuous lawyer excuse redundancy father lie student ually perform probably worthy praise perforce laughable thoroughly annoying time mean feat attorney insenive nerd _NEG_unknown profession finally frankly _NEG_enjoy police collection insenive oafs _NEG_depend barney fife andy handle law enforcement investigation community know real like cop fall bit short sharpness intelligence empathy level display law order series like dolt level staple lifetime finally find kind fascination josh concoction victim teacher perforce bad overall perforce main achievement minus lame uation resolve real life minute follow realistic meeting teacher school authority husband involve preclude contrived drama follow leave hour blank camera writer prove bad uation finally resolve right accomplish indication measure forthcoming real world context perpetrator parent able find sort path redemption presentation mild fascination
626,_NEG_believe enjoy amazingly realistic believable true speculate like know speculative prove _NEG_handle cruel mother nature theme remind nature program animal planet discovery channel animal dinosaur natural eat kill mate play fight survival ually find root effect excellent time look little cgi different angle look realistic case ually convince dinosaur favorite coelophysis raptor diplodocus iguanadon allosaurus arctic biped disappointed rex look little computer generate time case definitely production educational entertaining
627,turn decent good genre ion catch dragon hunt day train wreck _NEG_change channel sheer stupidity sap willpower pretty telling imdb credit monstroy apparently _NEG_work bad ing bad writing bad narration bad music bad hair bad tography recommend look bad ion enjoy laugh tonne _NEG_require scorch retina hope _NEG_government finance _NEG_pay taxis
628,fictitious surround police department sadhu agashe hard work hard edge cop head plain clothe crime squad kill dangerous criminal stage police encounter _NEG_lock prison loyal officer obey question rift form officer imtiaz frustrate sadhu high rank status secretly compete criminal kill status new recruit push fraternity imtiaz angry sadhu allow lead case change come form new police commissioner disapprove sadhu tic gets catch internal politic surprised direct ion thriller come camera work excellent tell tension high drama unfold ing pace political subterfuge convince viewer fly wall witness blood sweat tear close view event base reality _NEG_doubt tell _NEG_beginning likely shimit amin liberty fual account extremely polished piece
629,let simple kid glue flaw adult perspective buy jelly worm enjoy excellent pretty gosh darn hot _NEG_excited _NEG_bad thing kind _NEG_buy enjoy mention dad
630,morning _NEG_judge time settlement group way island _NEG_long encounter large reptile gobble horse soon capture native order gain freedom kill reptile god suck remind early console game encounter lame poive thing hottie native run skimpy outfit middling effort
631,blue excellent ing perfect ress perfectly suit play chemistry amazing ing superb feel know feel remind know child grow memory belief big screen times recite line _NEG_list favorite favorite thank bring youth _NEG_age black love look respect care help
